
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                256
On-line CPU(s) list:   0-255
Thread(s) per core:    2
Core(s) per socket:    64
Socket(s):             2
NUMA node(s):          4
Vendor ID:             AuthenticAMD
CPU family:            25
Model:                 1

Stepping:              1
CPU MHz:               3203.423
CPU max MHz:           2450.0000
CPU min MHz:           1500.0000
BogoMIPS:              4890.58
Virtualization:        AMD-V
L1d cache:             32K
L1i cache:             32K
L2 cache:              512K
L3 cache:              32768K
NUMA node0 CPU(s):     0-31,128-159
NUMA node1 CPU(s):     32-63,160-191
NUMA node2 CPU(s):     64-95,192-223
NUMA node3 CPU(s):     96-127,224-255
Flags:                 fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm constant_tsc rep_good nopl nonstop_tsc cpuid extd_apicid aperfmperf pni pclmulqdq monitor ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand lahf_lm cmp_legacy svm extapic cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw ibs skinit wdt tce topoext perfctr_core perfctr_nb bpext perfctr_llc mwaitx cpb cat_l3 cdp_l3 invpcid_single hw_pstate ssbd mba ibrs ibpb stibp vmmcall fsgsbase bmi1 avx2 smep bmi2 invpcid cqm rdt_a rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 xsaves cqm_llc cqm_occup_llc cqm_mbm_total cqm_mbm_local clzero irperf xsaveerptr wbnoinvd amd_ppin arat npt lbrv svm_lock nrip_save tsc_scale vmcb_clean flushbyasid decodeassists pausefilter pfthreshold v_vmsave_vmload vgif umip pku ospke vaes vpclmulqdq rdpid overflow_recov succor smca


NA	32.344	32.357	32.450	32.457	32.118	32.235	28.555	85.028	86.076	86.062	86.355	86.389	88.410	94.782	89.437	90.286	91.423	91.041	92.293	92.386	93.581	93.427	94.815	89.962	91.464	91.090	92.386	92.392	93.628	93.491	94.821	106.464	101.519	101.262	108.743	108.847	110.067	109.636	110.810	100.088	107.735	107.622	102.616	102.560	103.852	109.642	104.551	105.247	106.637	106.477	107.554	108.050	108.772	108.971	109.780	105.312	106.678	106.674	107.563	108.313	108.858	108.516	109.719	283.290	278.419	284.327	285.346	285.707	286.855	286.298	280.967	275.875	278.026	277.507	285.869	286.100	287.574	280.187	288.792	286.478	287.433	280.543	281.744	289.190	291.291	282.254	284.087	287.249	288.935	287.679	289.354	282.118	291.741	283.335	292.755	278.061	280.453	271.972	272.587	272.551	283.099	282.237	283.130	278.787	280.982	271.840	280.974	272.998	274.652	283.168	275.849	281.817	283.907	275.794	285.178	276.864	286.052	278.190	287.169	282.695	284.792	276.211	285.473	277.738	278.969	278.709	279.885
32.411	NA	32.436	31.944	31.771	29.455	28.839	30.357	92.182	93.902	93.342	95.068	95.283	97.375	89.177	90.907	91.440	92.630	92.484	93.693	93.955	95.231	94.945	96.302	91.492	92.624	92.458	93.724	93.818	95.338	94.961	96.317	107.763	103.226	102.894	104.153	110.190	111.382	111.025	112.329	107.801	103.220	102.855	110.003	104.269	111.344	111.020	106.492	106.868	108.330	107.999	109.341	109.273	110.568	110.219	111.147	106.851	108.426	108.038	109.426	109.218	110.304	110.409	111.538	277.289	285.940	278.750	286.688	279.921	288.114	287.728	282.630	285.239	279.888	279.256	280.889	287.318	288.684	288.408	283.121	287.977	282.297	289.117	283.898	289.583	285.211	290.860	285.531	288.406	290.342	289.766	291.402	284.111	292.030	284.792	293.795	271.663	273.429	281.117	274.464	282.173	284.032	283.433	277.659	272.306	273.885	281.519	275.537	282.975	276.583	276.186	277.669	282.527	277.517	284.407	286.302	279.233	287.290	286.769	281.116	283.800	278.183	285.210	279.280	286.624	280.925	287.363	281.709
32.358	32.460	NA	31.879	32.255	30.766	31.316	29.752	92.029	93.314	86.232	94.731	94.899	96.751	89.043	97.804	91.115	92.467	92.505	93.399	93.475	94.969	94.320	95.469	91.060	92.466	92.474	93.432	93.632	94.683	94.336	95.539	101.176	102.355	102.059	103.303	109.352	110.636	110.204	111.458	107.087	108.534	102.083	109.188	109.321	104.656	110.191	105.742	106.334	107.539	107.177	108.477	108.767	109.757	109.268	110.431	106.182	107.374	107.155	108.373	108.749	109.554	109.434	110.540	283.683	285.257	277.765	286.208	278.966	287.370	279.991	281.518	277.020	278.842	285.488	286.523	286.965	287.980	286.843	282.061	279.946	288.732	288.124	289.668	290.011	291.771	282.958	291.753	287.601	281.790	281.687	290.461	290.232	292.492	291.903	293.140	270.546	280.764	271.826	281.760	273.347	274.829	274.495	283.998	279.478	273.522	280.513	274.703	282.125	275.530	274.920	284.703	274.900	284.660	276.281	277.583	277.677	286.341	285.887	280.081	275.622	284.944	277.163	285.307	285.948	280.818	286.838	280.554
32.408	31.823	31.815	NA	29.571	30.442	29.995	31.226	86.291	95.043	94.720	89.348	97.216	97.673	97.853	98.141	92.312	93.685	93.273	94.815	95.094	96.512	96.279	97.348	92.205	93.692	93.303	94.784	95.042	96.444	96.031	97.337	102.610	109.707	109.534	110.803	110.901	112.121	111.815	113.129	102.795	109.782	103.960	105.183	110.875	112.179	106.246	107.464	107.823	109.216	108.956	110.156	109.826	111.532	110.782	112.423	107.846	109.286	109.034	109.722	109.838	111.126	111.288	112.060	279.244	286.939	286.494	287.431	280.925	282.684	282.343	290.128	286.384	287.404	280.327	281.823	281.485	289.684	282.862	291.006	281.700	283.647	282.957	291.552	284.486	292.980	292.500	294.184	289.292	283.772	289.944	292.215	292.138	293.742	286.079	294.910	280.137	274.342	281.389	275.887	276.341	276.925	276.320	277.967	273.500	283.390	282.082	284.369	284.093	277.715	284.879	278.540	284.041	278.814	278.063	287.116	280.098	288.293	287.639	281.846	277.483	279.216	286.272	288.015	280.664	281.988	288.529	289.554
32.429	31.681	32.193	29.535	NA	30.856	30.488	31.284	86.456	87.723	94.925	89.339	97.775	98.042	98.144	98.241	92.649	93.790	93.591	95.083	95.182	96.291	96.027	97.753	92.413	93.964	93.561	95.086	95.107	96.404	96.013	97.177	108.348	104.064	103.802	105.139	105.203	111.760	111.429	107.365	108.316	104.017	109.144	110.314	105.168	111.711	111.405	112.609	107.676	108.801	108.654	109.323	110.245	111.582	110.358	111.701	107.708	108.961	108.609	109.337	109.464	110.724	110.379	111.658	285.034	286.390	280.209	287.219	281.900	288.456	281.996	283.361	285.774	281.050	286.718	281.918	287.853	289.431	282.619	284.068	281.418	290.158	289.521	284.391	284.830	286.069	285.562	286.645	282.136	283.646	283.518	285.674	291.793	293.450	286.398	294.424	279.507	281.942	274.120	283.052	283.029	276.936	284.138	277.935	280.378	274.888	281.525	283.912	283.330	277.746	283.545	285.479	283.553	271.050	278.019	279.243	279.610	287.037	286.678	281.806	277.556	284.874	285.119	279.897	286.471	287.610	287.854	288.231
31.977	29.442	30.588	30.358	30.822	NA	31.968	33.124	88.197	89.597	89.459	90.923	91.097	92.397	92.030	98.385	93.743	95.194	94.943	96.515	96.340	97.707	97.782	98.157	93.595	95.198	94.996	96.484	97.000	97.722	97.513	98.142	109.490	105.512	105.238	106.545	112.083	107.960	107.639	114.173	109.477	105.515	105.165	106.556	106.656	107.964	112.943	108.802	108.962	110.487	109.641	111.648	111.145	112.292	112.737	113.170	109.142	110.562	109.691	110.937	111.751	112.949	112.686	113.860	285.448	281.211	286.966	282.165	288.485	288.491	289.091	284.186	286.027	281.798	287.407	283.326	288.800	284.299	283.564	290.721	283.070	284.976	290.725	291.912	292.049	287.337	292.473	288.672	289.835	285.400	285.062	286.425	286.467	288.001	293.642	289.364	281.407	276.236	275.984	283.341	277.133	284.925	284.745	280.025	275.616	283.266	283.054	277.925	277.918	279.629	278.990	281.085	285.213	279.842	286.380	287.092	287.272	282.161	281.897	289.394	278.898	286.735	287.208	281.342	281.511	289.460	282.856	284.123
32.298	28.874	30.986	29.950	30.498	32.015	NA	32.645	94.771	97.693	89.055	90.572	98.154	98.139	91.682	98.361	93.525	94.983	94.329	96.022	96.139	97.841	97.781	98.313	93.432	94.941	94.277	95.983	96.389	97.503	97.671	98.024	103.751	110.551	104.868	106.220	106.397	112.977	112.597	113.807	103.777	105.354	110.276	111.535	106.344	112.928	107.333	108.482	108.663	109.497	109.230	111.206	110.592	111.892	112.274	113.467	108.813	110.164	109.806	111.393	110.639	112.580	111.561	112.803	285.270	281.011	280.179	287.562	281.604	283.046	282.643	283.881	286.006	281.673	280.879	282.488	288.451	284.027	289.367	284.757	283.140	290.891	289.728	285.650	285.258	287.059	286.455	293.381	284.053	290.364	285.029	291.839	292.105	293.154	287.115	288.694	281.057	276.758	282.236	283.602	283.382	279.841	277.980	279.979	275.350	282.885	277.157	277.795	277.948	279.554	284.805	280.517	277.904	285.388	278.819	286.177	287.050	288.314	281.653	289.049	285.228	280.229	286.233	287.307	287.038	289.017	288.783	283.181
28.503	30.321	29.786	31.191	31.220	33.089	32.634	NA	95.853	97.793	90.612	98.083	98.232	93.349	98.401	100.165	94.447	96.675	95.994	97.427	97.751	98.181	98.080	98.875	94.542	96.334	95.967	97.398	97.264	98.149	98.087	98.872	110.525	106.359	106.092	107.339	107.552	114.316	113.978	109.354	110.526	111.956	106.056	112.993	107.519	114.296	114.051	109.330	109.745	110.924	111.025	112.500	112.428	113.691	113.459	114.571	109.695	110.932	110.943	112.449	112.457	113.695	113.417	114.263	279.829	288.082	281.371	282.936	289.692	284.099	283.817	285.101	280.678	283.428	288.477	289.036	289.813	284.914	290.636	285.833	290.550	291.754	285.544	292.875	292.996	288.148	287.291	294.889	285.110	286.306	285.995	292.748	293.730	288.765	294.590	289.715	282.425	283.820	276.789	279.065	278.049	286.509	278.944	280.826	276.168	284.342	277.305	278.866	278.984	286.567	286.468	281.422	285.942	280.637	280.135	288.037	288.326	283.312	283.019	283.914	279.606	288.344	287.972	282.189	282.231	290.218	283.400	291.164
91.007	92.005	86.047	92.704	93.479	88.158	87.303	95.797	NA	32.359	32.385	32.509	32.486	32.239	32.375	28.529	89.921	91.418	91.061	92.338	92.373	93.572	93.366	94.477	89.939	91.240	91.092	92.301	92.400	93.536	93.371	94.471	100.088	101.425	107.506	102.410	108.841	103.856	109.593	110.766	100.025	107.857	107.575	102.420	108.818	103.839	109.634	110.745	105.237	106.752	106.396	108.037	107.584	108.718	108.855	109.773	105.252	106.599	106.487	107.986	107.558	109.136	108.434	109.628	275.021	276.447	283.139	285.284	277.570	286.517	285.947	286.859	281.588	284.331	276.306	277.993	279.114	286.948	279.363	280.167	285.663	279.824	286.902	288.383	281.122	282.759	281.898	283.224	278.677	288.839	287.647	289.215	289.379	290.155	289.622	290.927	277.656	271.860	271.246	273.191	272.567	274.574	273.784	281.663	277.944	272.128	271.771	273.281	280.488	275.422	281.585	276.286	281.062	275.384	282.883	284.248	276.583	277.825	285.267	279.007	282.527	283.284	283.582	284.903	285.099	278.564	278.333	286.947
86.121	93.794	93.326	95.048	95.268	89.609	97.675	90.895	32.379	NA	32.541	32.235	32.054	29.412	28.886	30.345	91.496	92.593	92.530	93.706	93.899	95.162	94.892	96.612	91.446	92.603	92.463	93.690	93.919	95.241	94.890	96.284	101.715	103.162	102.815	104.061	104.293	105.628	110.959	112.176	101.753	108.968	108.777	104.121	104.212	111.349	111.018	106.466	107.105	108.445	108.061	109.033	109.204	110.278	110.227	111.225	106.876	108.402	107.970	109.336	109.166	110.239	110.269	111.453	283.888	284.849	284.713	279.243	279.180	287.520	287.155	281.521	277.732	279.091	278.514	279.748	280.005	281.481	287.826	289.264	286.363	288.490	281.550	289.621	282.736	291.137	290.881	291.589	287.966	282.395	282.252	290.445	283.385	291.454	290.810	292.402	271.608	274.043	280.440	281.186	281.508	282.896	282.235	283.835	279.693	274.105	279.855	281.814	275.093	283.281	283.106	284.829	276.237	277.491	277.212	278.515	285.605	279.878	279.523	280.721	276.483	278.443	277.682	286.115	279.442	280.772	287.242	288.398
